work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2020,Intermediate,Full-Time,Data Scientist,70000,EUR,79833,DE,0,DE,Large
2020,Senior,Full-Time,Machine Learning Scientist,260000,USD,260000,JP,0,JP,Small
2020,Senior,Full-Time,Big Data Engineer,85000,GBP,109024,GB,50,GB,Medium
2020,Intermediate,Full-Time,Product Data Analyst,20000,USD,20000,HN,0,HN,Small
2020,Senior,Full-Time,Machine Learning Engineer,150000,USD,150000,US,50,US,Large
2020,Entry Level,Full-Time,Data Analyst,72000,USD,72000,US,100,US,Large
2020,Senior,Full-Time,Lead Data Scientist,190000,USD,190000,US,100,US,Small
2020,Intermediate,Full-Time,Data Scientist,11000000,HUF,35735,HU,50,HU,Large
2020,Intermediate,Full-Time,Business Data Analyst,135000,USD,135000,US,100,US,Large
2020,Senior,Full-Time,Lead Data Engineer,125000,USD,125000,NZ,50,NZ,Small
2020,Entry Level,Full-Time,Data Scientist,45000,EUR,51321,FR,0,FR,Small
2020,Intermediate,Full-Time,Data Scientist,3000000,INR,40481,IN,0,IN,Large
2020,Entry Level,Full-Time,Data Scientist,35000,EUR,39916,FR,0,FR,Medium
2020,Intermediate,Full-Time,Lead Data Analyst,87000,USD,87000,US,100,US,Large
2020,Intermediate,Full-Time,Data Analyst,85000,USD,85000,US,100,US,Large
2020,Intermediate,Full-Time,Data Analyst,8000,USD,8000,PK,50,PK,Large
2020,Entry Level,Full-Time,Data Engineer,4450000,JPY,41689,JP,100,JP,Small
2020,Senior,Full-Time,Big Data Engineer,100000,EUR,114047,PL,100,GB,Small
2020,Entry Level,Full-Time,Data Science Consultant,423000,INR,5707,IN,50,IN,Medium
2020,Intermediate,Full-Time,Lead Data Engineer,56000,USD,56000,PT,100,US,Medium
2020,Intermediate,Full-Time,Machine Learning Engineer,299000,CNY,43331,CN,0,CN,Medium
2020,Intermediate,Full-Time,Product Data Analyst,450000,INR,6072,IN,100,IN,Large
2020,Senior,Full-Time,Data Engineer,42000,EUR,47899,GR,50,GR,Large
2020,Intermediate,Full-Time,BI Data Analyst,98000,USD,98000,US,0,US,Medium
2020,Intermediate,Full-Time,Lead Data Scientist,115000,USD,115000,AE,0,AE,Large
2020,Executive,Full-Time,Director of Data Science,325000,USD,325000,US,100,US,Large
2020,Entry Level,Full-Time,Research Scientist,42000,USD,42000,NL,50,NL,Large
